id.exposure,id.outcome,outcome,exposure,method,nsnp,b,se,pval,subset,ci_lower,ci_upper
mALPS_Figshare_25515331,Traylor2016_WMH_nonUKB,WMH burden (Traylor 2016 non-UKB),Mean DTI-ALPS index,Inverse variance weighted,10,-0.469725204244321,0.154956773516583,0.00243478525318028,all_10_IV,-0.773434899497353,-0.166015508991289
mALPS_Figshare_25515331,Traylor2016_WMH_nonUKB,WMH burden (Traylor 2016 non-UKB),Mean DTI-ALPS index,Weighted median,10,-0.484502797654814,0.203344984007327,0.0171878685021354,all_10_IV,-0.883051642746048,-0.0859539525635801
mALPS_Figshare_25515331,Traylor2016_WMH_nonUKB,WMH burden (Traylor 2016 non-UKB),Mean DTI-ALPS index,Inverse variance weighted,8,-0.475109241129202,0.177566765532958,0.00745810745160589,direct_only_8_IV,-0.823133706425067,-0.127084775833337
mALPS_Figshare_25515331,Traylor2016_WMH_nonUKB,WMH burden (Traylor 2016 non-UKB),Mean DTI-ALPS index,Weighted median,8,-0.479262641894766,0.234165025263332,0.040688772423439,direct_only_8_IV,-0.938217657849808,-0.0203076259397237
mALPS_Figshare_25515331,Traylor2016_WMH_nonUKB,WMH burden (Traylor 2016 non-UKB),Mean DTI-ALPS index,Inverse variance weighted,9,-0.465920988855016,0.163256439957677,0.00431832629388789,chr16_IV_excluded,-0.785897731416288,-0.145944246293744
mALPS_Figshare_25515331,Traylor2016_WMH_nonUKB,WMH burden (Traylor 2016 non-UKB),Mean DTI-ALPS index,Weighted median,9,-0.447537769941882,0.215024703842241,0.0374035395540869,chr16_IV_excluded,-0.868978445259065,-0.0260970946246981
mALPS_Figshare_25515331,Traylor2016_WMH_nonUKB,WMH burden (Traylor 2016 non-UKB),Mean DTI-ALPS index,Inverse variance weighted,9,-0.38927054998823,0.161490067292736,0.0159310113182805,strongest_WMH_SNP_excluded,-0.705785265742942,-0.072755834233519
mALPS_Figshare_25515331,Traylor2016_WMH_nonUKB,WMH burden (Traylor 2016 non-UKB),Mean DTI-ALPS index,Weighted median,9,-0.451686811098383,0.203254349570426,0.0262648091997454,strongest_WMH_SNP_excluded,-0.850058015957532,-0.0533156062392334
