id.exposure,id.outcome,outcome,exposure,method,nsnp,b,se,pval,ci_lower,ci_upper,direction,analysis_status
mALPS_Figshare_25515331,Traylor2016_WMH_nonUKB,WMH burden (Traylor 2016 non-UKB),Mean DTI-ALPS index,Inverse variance weighted,10,-0.469725204244321,0.154956773516583,0.00243478525318028,-0.773434899497353,-0.166015508991289,negative,exploratory_nonUKB_low_power
mALPS_Figshare_25515331,Traylor2016_WMH_nonUKB,WMH burden (Traylor 2016 non-UKB),Mean DTI-ALPS index,Weighted median,10,-0.484502797654814,0.2012847799217,0.0160819092420184,-0.879013716937416,-0.089991878372212,negative,exploratory_nonUKB_low_power
mALPS_Figshare_25515331,Traylor2016_WMH_nonUKB,WMH burden (Traylor 2016 non-UKB),Mean DTI-ALPS index,MR Egger,10,-0.816959095791473,0.824798427973627,0.350940694600099,-2.43353430912504,0.79961611754209,negative,exploratory_nonUKB_low_power
mALPS_Figshare_25515331,Traylor2016_WMH_nonUKB,WMH burden (Traylor 2016 non-UKB),Mean DTI-ALPS index,Robust adjusted profile score (RAPS),10,-0.460988204315788,0.163494106555421,0.00480833432806756,-0.781430764848967,-0.140545643782609,negative,exploratory_nonUKB_low_power
