phenotype,h2_observed,SE,CI_lower,CI_upper,Z,P,LDSC_intercept,intercept_SE,attenuation_ratio,ratio_SE,lambda_GC,mean_chi_square,regression_SNPs,technically_valid,log_file,BH_FDR_q,significant_FDR
mALPS,0.3015,0.0227,0.257008,0.34599199999999997,13.281938325991188,2.9466648877980108e-40,1.0052,0.0076,0.0265,0.0392,1.1587,1.195,1105108,True,${ALPS_WORKSPACE_ROOT}/ALPS_GENETIC_ARCHITECTURE/03_LDSC/h2/mALPS.log,8.839994663394033e-40,True
left_ALPS,0.2826,0.0224,0.23869600000000002,0.326504,12.616071428571429,1.721996399011094e-36,1.005,0.0081,0.0275,0.0447,1.1459,1.1818,1105108,True,${ALPS_WORKSPACE_ROOT}/ALPS_GENETIC_ARCHITECTURE/03_LDSC/h2/left_ALPS.log,1.721996399011094e-36,True
right_ALPS,0.2841,0.0221,0.24078400000000003,0.32741600000000004,12.855203619909503,8.041383618758356e-38,1.0039,0.0072,0.0215,0.0393,1.1491,1.1833,1105108,True,${ALPS_WORKSPACE_ROOT}/ALPS_GENETIC_ARCHITECTURE/03_LDSC/h2/right_ALPS.log,1.2062075428137534e-37,True
