TRAIT,library,term,FULL_NAME,NGENES,BETA,BETA_STD,SE,P,BH_FDR,BONFERRONI_P,BONFERRONI_SIGNIFICANT,FDR_SIGNIFICANT
mALPS,Reactome_2022,rRNA Processing In Nucleus And Cytosol R-HSA-8868773,Reactome_2022::rRNA_Processing_In_Nucleus_And_Cytosol_R-HSA-8868773,179,-0.017404,-0.0017179,0.070231,0.59786,0.9673418390162102,1.0,False,False
mALPS,GO_BP_2023,Carbon Dioxide Transport (GO:0015670),GO_BP_2023::Carbon_Dioxide_Transport_(GO:0015670),11,-0.070527,-0.0017338,0.28386,0.59811,0.9673418390162102,1.0,False,False
mALPS,GO_BP_2023,Regulation Of Nucleic Acid-Templated Transcription (GO:1903506),GO_BP_2023::Regulation_Of_Nucleic_Acid-Templated_Transcription_(GO:1903506),416,-0.011398,-0.0017038,0.045802,0.59826,0.9673418390162102,1.0,False,False
mALPS,GO_BP_2023,Regulation Of Cholesterol Storage (GO:0010885),GO_BP_2023::Regulation_Of_Cholesterol_Storage_(GO:0010885),14,-0.062643,-0.0017372,0.25112,0.59849,0.9673418390162102,1.0,False,False
mALPS,Reactome_2022,Caspase-mediated Cleavage Of Cytoskeletal Proteins R-HSA-264870,Reactome_2022::Caspase-mediated_Cleavage_Of_Cytoskeletal_Proteins_R-HSA-264870,12,-0.055164,-0.0014164,0.22084,0.59862,0.9673418390162102,1.0,False,False
mALPS,GO_BP_2023,Regulation Of Dopamine Secretion (GO:0014059),GO_BP_2023::Regulation_Of_Dopamine_Secretion_(GO:0014059),21,-0.048625,-0.0016512,0.19464,0.59863,0.9673418390162102,1.0,False,False
mALPS,GO_BP_2023,Regulation Of Brown Fat Cell Differentiation (GO:0090335),GO_BP_2023::Regulation_Of_Brown_Fat_Cell_Differentiation_(GO:0090335),16,-0.047512,-0.0014085,0.19017,0.59864,0.9673418390162102,1.0,False,False
mALPS,Reactome_2022,Opioid Signaling R-HSA-111885,Reactome_2022::Opioid_Signaling_R-HSA-111885,87,-0.024083,-0.0016615,0.096346,0.59869,0.9673418390162102,1.0,False,False
mALPS,Reactome_2022,WNT5A-dependent Internalization Of FZD4 R-HSA-5099900,Reactome_2022::WNT5A-dependent_Internalization_Of_FZD4_R-HSA-5099900,15,-0.056997,-0.0016361,0.22553,0.59976,0.9673418390162102,1.0,False,False
mALPS,Reactome_2022,HDR Thru Homologous Recombination (HRR) R-HSA-5685942,Reactome_2022::HDR_Thru_Homologous_Recombination_(HRR)_R-HSA-5685942,66,-0.029722,-0.0017871,0.11724,0.60006,0.9673418390162102,1.0,False,False
mALPS,GO_BP_2023,Negative Regulation Of Peptide Hormone Secretion (GO:0090278),GO_BP_2023::Negative_Regulation_Of_Peptide_Hormone_Secretion_(GO:0090278),18,-0.049344,-0.0015514,0.19442,0.60017,0.9673418390162102,1.0,False,False
mALPS,Reactome_2022,SUMOylation Of DNA Methylation Proteins R-HSA-4655427,Reactome_2022::SUMOylation_Of_DNA_Methylation_Proteins_R-HSA-4655427,15,-0.070884,-0.0020347,0.27893,0.6003,0.9673418390162102,1.0,False,False
mALPS,GO_BP_2023,Negative Regulation Of NF-kappaB Transcription Factor Activity (GO:0032088),GO_BP_2023::Negative_Regulation_Of_NF-kappaB_Transcription_Factor_Activity_(GO:0032088),73,-0.026569,-0.0016798,0.10454,0.60031,0.9673418390162102,1.0,False,False
mALPS,GO_BP_2023,Epidermal Cell Differentiation (GO:0009913),GO_BP_2023::Epidermal_Cell_Differentiation_(GO:0009913),54,-0.030071,-0.001636,0.11802,0.60056,0.9673418390162102,1.0,False,False
mALPS,Reactome_2022,Signaling By FGFR3 In Disease R-HSA-5655332,Reactome_2022::Signaling_By_FGFR3_In_Disease_R-HSA-5655332,19,-0.047522,-0.0015351,0.18626,0.60069,0.9673418390162102,1.0,False,False
mALPS,GO_BP_2023,Positive Regulation Of Muscle Contraction (GO:0045933),GO_BP_2023::Positive_Regulation_Of_Muscle_Contraction_(GO:0045933),11,-0.061933,-0.0015226,0.24268,0.60072,0.9673418390162102,1.0,False,False
mALPS,GO_BP_2023,"Wound Healing, Spreading Of Cells (GO:0044319)","GO_BP_2023::Wound_Healing,_Spreading_Of_Cells_(GO:0044319)",24,-0.051883,-0.0018833,0.20293,0.60089,0.9673418390162102,1.0,False,False
mALPS,GO_BP_2023,Reticulophagy (GO:0061709),GO_BP_2023::Reticulophagy_(GO:0061709),15,-0.059076,-0.0016957,0.2305,0.60114,0.9673418390162102,1.0,False,False
mALPS,GO_BP_2023,Positive Regulation Of Phospholipase C Activity (GO:0010863),GO_BP_2023::Positive_Regulation_Of_Phospholipase_C_Activity_(GO:0010863),34,-0.039923,-0.0017244,0.15552,0.6013,0.9673418390162102,1.0,False,False
mALPS,GO_BP_2023,Removal Of Superoxide Radicals (GO:0019430),GO_BP_2023::Removal_Of_Superoxide_Radicals_(GO:0019430),9,-0.09113,-0.0020266,0.35489,0.60133,0.9673418390162102,1.0,False,False
mALPS,Reactome_2022,Leishmania Infection R-HSA-9658195,Reactome_2022::Leishmania_Infection_R-HSA-9658195,237,-0.015505,-0.0017582,0.060333,0.6014,0.9673418390162102,1.0,False,False
mALPS,GO_BP_2023,Pore Complex Assembly (GO:0046931),GO_BP_2023::Pore_Complex_Assembly_(GO:0046931),17,-0.053645,-0.0016392,0.20856,0.60149,0.9673418390162102,1.0,False,False
mALPS,GO_BP_2023,Membrane Fusion (GO:0061025),GO_BP_2023::Membrane_Fusion_(GO:0061025),27,-0.044289,-0.0017051,0.17164,0.60181,0.9673418390162102,1.0,False,False
