library,term,traits_tested,traits_P_lt_0_005,minimum_P,maximum_P,minimum_BH_FDR,FDR_significant_any_trait
GO_BP_2023,Cellular Response To Retinoic Acid (GO:0071300),3,2,0.0029805,0.051248,0.5916865306122449,False
GO_BP_2023,post-Golgi Vesicle-Mediated Transport (GO:0006892),3,2,0.0018891,0.055342,0.5916865306122449,False
GO_BP_2023,Negative Regulation Of MAPK Cascade (GO:0043409),3,1,0.0037552,0.0086695,0.5916865306122449,False
GO_BP_2023,Negative Regulation Of Ion Transmembrane Transporter Activity (GO:0032413),3,1,0.0041228,0.01109,0.6472500555555556,False
Reactome_2022,Regulation Of RUNX2 Expression And Activity R-HSA-8939902,3,1,0.0043113,0.011538,0.5916865306122449,False
Reactome_2022,"Cell Death Signaling Via NRAGE, NRIF And NADE R-HSA-204998",3,1,0.0026451,0.01166,0.5916865306122449,False
GO_BP_2023,Positive Regulation Of Chemokine Production (GO:0032722),3,1,0.0020716,0.01292,0.5931829444444445,False
GO_BP_2023,Regulation Of Ubiquitin-Dependent Protein Catabolic Process (GO:2000058),3,1,0.0044478,0.015482,0.6472500555555556,False
GO_BP_2023,Regulation Of Autophagy Of Mitochondrion (GO:1903146),3,1,0.0033741,0.016029,0.5916865306122449,False
GO_BP_2023,Positive Regulation Of Proteolysis Involved In Protein Catabolic Process (GO:1903052),3,1,0.0031338,0.018496,0.6472500555555556,False
Reactome_2022,RHOA GTPase Cycle R-HSA-8980692,3,1,0.0034521,0.021166,0.5916865306122449,False
Reactome_2022,Uptake Of Dietary Cobalamins Into Enterocytes R-HSA-9758881,3,1,0.0036027,0.022622,0.5916865306122449,False
GO_BP_2023,Negative Regulation Of Oxidative Stress-Induced Intrinsic Apoptotic Signaling Pathway (GO:1902176),3,1,0.0034804,0.024021,0.5916865306122449,False
GO_BP_2023,Negative Regulation Of Nucleic Acid-Templated Transcription (GO:1903507),3,1,0.0047333,0.03279,0.5916865306122449,False
GO_BP_2023,Regulation Of Establishment Of Planar Polarity (GO:0090175),3,1,0.0043651,0.035387,0.5916865306122449,False
GO_BP_2023,Cytoskeleton Organization (GO:0007010),3,1,0.0013236,0.036707,0.6802615333333333,False
GO_BP_2023,Inositol Lipid-Mediated Signaling (GO:0048017),3,1,0.0011081,0.039052,0.6472500555555556,False
GO_BP_2023,Myotube Differentiation (GO:0014902),3,1,0.0039714,0.042657,0.6892383970588236,False
GO_BP_2023,Regulation Of Blood Circulation (GO:1903522),3,1,0.0036572,0.050416,0.5916865306122449,False
Reactome_2022,GLI3 Is Processed To GLI3R By Proteasome R-HSA-5610785,3,1,0.0025314,0.060469,0.5916865306122449,False
GO_BP_2023,Cardiac Right Ventricle Morphogenesis (GO:0003215),3,1,0.0043973,0.065012,0.5916865306122449,False
GO_BP_2023,Regulation Of Epidermal Growth Factor Receptor Signaling Pathway (GO:0042058),3,1,0.0049964,0.065394,0.7827946511627907,False
GO_BP_2023,Immune Response-Regulating Cell Surface Receptor Signaling Pathway (GO:0002768),3,1,0.0045163,0.073924,0.6472500555555556,False
Reactome_2022,Regulation Of BACH1 Activity R-HSA-9708530,3,1,0.0041903,0.08551,0.7827946511627907,False
