TRAIT,library,term,FULL_NAME,NGENES,BETA,BETA_STD,SE,P,BH_FDR,BONFERRONI_P,BONFERRONI_SIGNIFICANT,FDR_SIGNIFICANT
right_ALPS,GO_BP_2023,Negative Regulation Of Oxidative Stress-Induced Intrinsic Apoptotic Signaling Pathway (GO:1902176),GO_BP_2023::Negative_Regulation_Of_Oxidative_Stress-Induced_Intrinsic_Apoptotic_Signaling_Pathway_(GO:1902176),15,0.54711,0.015705,0.2027,0.0034804,0.5916865306122449,1.0,False,False
right_ALPS,GO_BP_2023,Regulation Of Epithelial To Mesenchymal Transition (GO:0010717),GO_BP_2023::Regulation_Of_Epithelial_To_Mesenchymal_Transition_(GO:0010717),83,0.26758,0.018034,0.099298,0.003526,0.5916865306122449,1.0,False,False
right_ALPS,Reactome_2022,Uptake Of Dietary Cobalamins Into Enterocytes R-HSA-9758881,Reactome_2022::Uptake_Of_Dietary_Cobalamins_Into_Enterocytes_R-HSA-9758881,10,0.82908,0.019434,0.30848,0.0036027,0.5916865306122449,1.0,False,False
right_ALPS,GO_BP_2023,Regulation Of Blood Circulation (GO:1903522),GO_BP_2023::Regulation_Of_Blood_Circulation_(GO:1903522),31,0.44055,0.018171,0.16423,0.0036572,0.5916865306122449,1.0,False,False
right_ALPS,GO_BP_2023,Negative Regulation Of MAPK Cascade (GO:0043409),GO_BP_2023::Negative_Regulation_Of_MAPK_Cascade_(GO:0043409),96,0.25864,0.01874,0.096734,0.0037552,0.5916865306122449,1.0,False,False
right_ALPS,GO_BP_2023,Response To Retinoic Acid (GO:0032526),GO_BP_2023::Response_To_Retinoic_Acid_(GO:0032526),60,0.30574,0.017531,0.11524,0.0039929,0.5916865306122449,1.0,False,False
right_ALPS,GO_BP_2023,Negative Regulation Of Osteoblast Differentiation (GO:0045668),GO_BP_2023::Negative_Regulation_Of_Osteoblast_Differentiation_(GO:0045668),30,0.4572,0.018552,0.17319,0.0041508,0.5916865306122449,1.0,False,False
right_ALPS,GO_BP_2023,N-glycan Processing (GO:0006491),GO_BP_2023::N-glycan_Processing_(GO:0006491),18,0.59624,0.018747,0.22707,0.0043269,0.5916865306122449,1.0,False,False
right_ALPS,GO_BP_2023,Regulation Of Establishment Of Planar Polarity (GO:0090175),GO_BP_2023::Regulation_Of_Establishment_Of_Planar_Polarity_(GO:0090175),28,0.46278,0.018143,0.17644,0.0043651,0.5916865306122449,1.0,False,False
right_ALPS,GO_BP_2023,Cardiac Right Ventricle Morphogenesis (GO:0003215),GO_BP_2023::Cardiac_Right_Ventricle_Morphogenesis_(GO:0003215),12,0.74712,0.019183,0.28513,0.0043973,0.5916865306122449,1.0,False,False
