pair_id,region_id,ALPS_phenotype,external_trait,common_SNPs,PP0,PP1,PP2,PP3,PP4,PP4_strict_p12_1e_6,insomnia_logOR_approx_PP4,PP4_gt_0_8,top_shared_candidate_SNP,top_SNP_PP_H4,H4_95pct_credible_set_SNPs,minimum_ALPS_P,minimum_external_P,both_traits_regional_P_lt_1e_6,sample_overlap,overlap_sensitive,status,prior_p1,prior_p2,prior_p12,model,assumption
ALPS_L16_011__mALPS__WMH,ALPS_L16_011,mALPS,WMH,2973,2.36421208980696e-18,1.1073396832266e-13,4.44546843214977e-07,0.0198413392572078,0.980158216195837,0.831646131509099,,TRUE,rs4843555,0.267621201186227,6,1.53285e-10,9.815e-18,TRUE,"Possible major UKB imaging overlap (WMH includes 26,788 UKB participants)",TRUE,OK,1e-04,1e-04,1e-05,coloc.abf; beta/varbeta mode,At most one causal variant per trait in region
ALPS_L16_011__left_ALPS__WMH,ALPS_L16_011,left_ALPS,WMH,2974,2.06943410872005e-16,1.15942050645076e-13,3.89118030847247e-05,0.0208215751118942,0.979139513084906,0.824368885872342,,TRUE,rs4843555,0.261294839889991,6,1.5604e-08,9.815e-18,TRUE,"Possible major UKB imaging overlap (WMH includes 26,788 UKB participants)",TRUE,OK,1e-04,1e-04,1e-05,coloc.abf; beta/varbeta mode,At most one causal variant per trait in region
ALPS_L16_011__right_ALPS__WMH,ALPS_L16_011,right_ALPS,WMH,2973,9.96717349824248e-19,1.43832931553314e-13,1.87414468165648e-07,0.026071223556184,0.973928589029207,0.788834364812894,,TRUE,rs4843550,0.267291501386382,7,4.70284e-11,9.815e-18,TRUE,"Possible major UKB imaging overlap (WMH includes 26,788 UKB participants)",TRUE,OK,1e-04,1e-04,1e-05,coloc.abf; beta/varbeta mode,At most one causal variant per trait in region
ALPS_L17_012__right_ALPS__sleep_duration,ALPS_L17_012,right_ALPS,sleep_duration,2786,1.76401763674827e-09,1.19122852834579e-05,0.000118393715959069,0.799303753571932,0.200565938662807,0.0244744631789619,,FALSE,17:44289832_A_G,0.0767291683126562,1882,4.04967e-10,1e-09,TRUE,"UKB overlap likely; up to approximately 31,021 ALPS participants",TRUE,OK,1e-04,1e-04,1e-05,coloc.abf; beta/varbeta mode,At most one causal variant per trait in region
ALPS_L17_012__mALPS__sleep_duration,ALPS_L17_012,mALPS,sleep_duration,2786,3.51120621097233e-08,1.33855384155075e-05,0.00235657933433065,0.898283753849189,0.0993462461660038,0.0109101157577967,,FALSE,17:44289832_A_G,0.363827327024291,1676,3.63928e-09,1e-09,TRUE,"UKB overlap likely; up to approximately 31,021 ALPS participants",TRUE,OK,1e-04,1e-04,1e-05,coloc.abf; beta/varbeta mode,At most one causal variant per trait in region
ALPS_L17_012__left_ALPS__sleep_duration,ALPS_L17_012,left_ALPS,sleep_duration,2786,1.94274004801326e-06,1.22795283172866e-05,0.130388840017937,0.824106693624147,0.0454902440895504,0.00474321751941006,,FALSE,17:44266982_T_C,0.278925950706817,1740,1.02892e-06,1e-09,FALSE,"UKB overlap likely; up to approximately 31,021 ALPS participants",TRUE,OK,1e-04,1e-04,1e-05,coloc.abf; beta/varbeta mode,At most one causal variant per trait in region
ALPS_L17_012__right_ALPS__insomnia,ALPS_L17_012,right_ALPS,insomnia,2786,0.000139421325838284,0.941502269243228,7.39534710052497e-06,0.0499318324194707,0.00841908166436219,0.000848336156679948,0.00834345133987728,FALSE,17:44289832_A_G,0.0797904541045523,1867,4.04967e-10,0.00092,FALSE,"UKB overlap likely; up to approximately 31,021 ALPS participants",TRUE,OK,1e-04,1e-04,1e-05,coloc.abf; insomnia p-value mode,At most one causal variant per trait in region
ALPS_L17_012__mALPS__insomnia,ALPS_L17_012,mALPS,insomnia,2786,0.00247476103284378,0.943436724702023,0.000131269134895201,0.0500389428210071,0.00391830230923082,0.000393216899339321,0.00382322082562853,FALSE,17:44289832_A_G,0.359085172713614,1672,3.63928e-09,0.00092,FALSE,"UKB overlap likely; up to approximately 31,021 ALPS participants",TRUE,OK,1e-04,1e-04,1e-05,coloc.abf; insomnia p-value mode,At most one causal variant per trait in region
ALPS_L17_012__left_ALPS__insomnia,ALPS_L17_012,left_ALPS,insomnia,2786,0.129286424953178,0.817184119860413,0.00685775997442266,0.043342695541902,0.00332899967008478,0.000333900365795294,0.00323428794273553,FALSE,17:44289832_A_G,0.0942735259012711,1584,1.02892e-06,0.00092,FALSE,"UKB overlap likely; up to approximately 31,021 ALPS participants",TRUE,OK,1e-04,1e-04,1e-05,coloc.abf; insomnia p-value mode,At most one causal variant per trait in region
